date,value
2022-02-05,215
2022-02-06,225
2022-02-07,229
2022-02-08,227
2022-02-09,215
2022-02-10,210
2022-02-11,197
2022-02-12,183
2022-02-13,187
2022-02-14,191
2022-02-15,193
2022-02-16,186
2022-02-17,184
2022-02-18,183
2022-02-19,188
2022-02-20,177
2022-02-21,183
2022-02-22,184
2022-02-23,178
2022-02-24,179
2022-02-25,178
2022-02-26,179
2022-02-27,181
2022-02-28,179
2022-03-01,180
2022-03-02,174
2022-03-03,169
2022-03-04,166
2022-03-05,164
2022-03-06,165
2022-03-07,173
2022-03-08,178
2022-03-09,179
2022-03-10,169
2022-03-11,176
2022-03-12,169
2022-03-13,157
2022-03-14,168
2022-03-15,176
2022-03-16,168
2022-03-17,164
2022-03-18,160
2022-03-19,155
2022-03-20,154
2022-03-21,166
2022-03-22,166
2022-03-23,169
2022-03-24,166
2022-03-25,155
2022-03-26,147
2022-03-27,147
2022-03-28,152
2022-03-29,146
2022-03-30,146
2022-03-31,143
2022-04-01,136
2022-04-02,124
2022-04-03,115
2022-04-04,111
2022-04-05,114
2022-04-06,115
2022-04-07,121
2022-04-08,113
2022-04-09,99
2022-04-10,98
2022-04-11,101
2022-04-12,107
2022-04-13,109
2022-04-14,110
2022-04-15,108
2022-04-16,93
2022-04-17,93
2022-04-18,95
2022-04-19,101
2022-04-20,94
2022-04-21,88
2022-04-22,84
2022-04-23,81
2022-04-24,80
2022-04-25,81
2022-04-26,75
2022-04-27,74
2022-04-28,71
2022-04-29,65
2022-04-30,66
2022-05-01,66
2022-05-02,66
2022-05-03,63
2022-05-04,55
2022-05-05,50
2022-05-06,47
2022-05-07,48
2022-05-08,49
2022-05-09,48
2022-05-10,47
2022-05-11,46
2022-05-12,46
2022-05-13,41
2022-05-14,36
2022-05-15,33
2022-05-16,39
2022-05-17,36
2022-05-18,36
2022-05-19,32
2022-05-20,29
2022-05-21,28
2022-05-22,30
2022-05-23,33
2022-05-24,32
2022-05-25,28
2022-05-26,27
2022-05-27,28
2022-05-28,27
2022-05-29,27
2022-05-30,28
2022-05-31,29
2022-06-01,32
2022-06-02,28
2022-06-03,26
2022-06-04,26
2022-06-05,26
2022-06-06,26
2022-06-07,26
2022-06-08,25
2022-06-09,31
2022-06-10,36
2022-06-11,34
2022-06-12,31
2022-06-13,35
2022-06-14,40
2022-06-15,39
2022-06-16,39
2022-06-17,33
2022-06-18,32
2022-06-19,31
2022-06-20,32
2022-06-21,35
2022-06-22,37
2022-06-23,40
2022-06-24,39
2022-06-25,41
2022-06-26,44
2022-06-27,47
2022-06-28,46
2022-06-29,48
2022-06-30,49
2022-07-01,46
2022-07-02,43
2022-07-03,38
2022-07-04,44
2022-07-05,44
2022-07-06,47
2022-07-07,44
2022-07-08,42
2022-07-09,44
2022-07-10,49
2022-07-11,55
2022-07-12,62
2022-07-13,58
2022-07-14,57
2022-07-15,53
2022-07-16,52
2022-07-17,60
2022-07-18,62
2022-07-19,53
2022-07-20,48
2022-07-21,45
2022-07-22,49
2022-07-23,46
2022-07-24,53
2022-07-25,53
2022-07-26,54
2022-07-27,55
2022-07-28,48
2022-07-29,50
